Tweet Date,User,Tweet
2022-12-30 19:47:31+00:00,kulanthisilva,@KasunKoswattha I have the flu 🌝 උන විකාරෙන් කියවනවා 😜
2022-12-30 19:37:27+00:00,kulanthisilva,**gives 🙇🏻‍♀️
2022-12-30 19:28:54+00:00,kulanthisilva,@vplist @JeevanThondaman Really? I have to now really listen to him talk.
2022-12-30 19:14:57+00:00,kulanthisilva,@UMadhavii @UlfathUwais මට නැති ෆොරින් මිනිස්ටට්රි එන්ඩෝර්ස්මන්ට් වෙන කාටද මෙයා 😌
2022-12-30 19:12:44+00:00,kulanthisilva,@UlfathUwais https://t.co/wnddBMml4g
2022-12-30 19:04:08+00:00,kulanthisilva,@KMeeeaaow මටත් මගේ බල්ලන් ඕනෑම මිනිහෙකුට වඩා වැදගත්.
2022-12-30 15:33:34+00:00,kulanthisilva,"I’ve been on the receiving end of some pretty nasty attacks on Twitter, but that’s just part of life on the Internet. And I’ve grown a lot this year in how I deal with people who want to bring you down."
2022-12-30 15:02:25+00:00,kulanthisilva,@Ru173418052 https://t.co/cNJrCFF98V
2022-12-30 15:01:40+00:00,kulanthisilva,@TomAaronness 😌
2022-12-30 15:01:10+00:00,kulanthisilva,@VindyaPeiris2 https://t.co/4aM26ypxM9
2022-12-30 14:25:55+00:00,kulanthisilva,@HaileeDeSilva1 ❤️
2022-12-30 14:22:38+00:00,kulanthisilva,@HaileeDeSilva1 I am worn out. 😕
2022-12-30 14:20:37+00:00,kulanthisilva,@pavanaynay 😌😘 https://t.co/Gu2WQDJsco
2022-12-30 14:19:24+00:00,kulanthisilva,@Arunacarl @22Dinuk 😅
2022-12-30 14:19:05+00:00,kulanthisilva,@Whoamiv3 Yes very dark
2022-12-30 14:18:49+00:00,kulanthisilva,@TazMolligoda This was before flu 😌
2022-12-30 14:18:28+00:00,kulanthisilva,@dulakshi_g https://t.co/2t5N5qPv1p
2022-12-30 13:37:05+00:00,kulanthisilva,@PrasadMadurang 🍋🍋
2022-12-30 13:36:55+00:00,kulanthisilva,@HaileeDeSilva1 In winter 🥶
2022-12-30 13:36:37+00:00,kulanthisilva,"@Ru173418052 Well, I would like to think so too, but…🥲"
2022-12-30 13:24:15+00:00,kulanthisilva,When life give you lemons…🍋 https://t.co/Gidxyut0Ys
